Date,Volume,VolumeWeightedAvgPrice,OpenPrice,ClosePrice,HighestPrice,LowestPrice,UnixTimestamp,NumberOfTransactions
2023-01-01,12,130.8361,130.952,130.845,130.952,130.732,1672531200000,12
2023-01-02,81379,130.8025,130.86,130.795,131.402,130.529,1672617600000,81379
2023-01-03,276808,130.4668,130.787,131.293,131.445,129.5,1672704000000,276808
2023-01-04,272444,131.1816,131.295,132.252,132.72,129.923,1672790400000,272444
2023-01-05,272141,132.8809,132.244,133.317,134.051,131.681,1672876800000,272141
2023-01-06,260547,133.564,133.321,132.08,134.772,131.992,1672963200000,260547
2023-01-08,7836,132.0339,131.967,131.802,132.285,131.761,1673136000000,7836
2023-01-09,258141,131.931,131.807,131.73,132.655,131.302,1673222400000,258141
2023-01-10,267656,132.0122,131.729,132.102,132.477,131.38,1673308800000,267656
2023-01-11,245193,132.4423,132.103,131.901,132.872,131.769,1673395200000,245193
2023-01-12,306199,130.616,131.902,129.168,132.036,128.86,1673481600000,306199
2023-01-13,271885,128.4739,129.172,127.89,129.347,127.457,1673568000000,271885
2023-01-14,4,127.875,127.88,127.87,127.88,127.87,1673654400000,4
2023-01-15,6343,127.9837,127.352,128.05,128.147,127.352,1673740800000,6343
2023-01-16,90820,128.4452,128.355,128.336,128.77,128.112,1673827200000,90820
2023-01-17,110708,128.3624,128.608,128.284,128.79,127.986,1673913600000,110708
2023-01-18,143678,128.5497,129.177,128.552,129.256,127.563,1674000000000,143678
2023-01-19,128001,128.4794,128.492,128.369,128.814,128.23,1674086400000,128001
2023-01-20,234983,129.4623,128.506,129.55,130.612,128.5,1674172800000,234983
2023-01-22,5186,129.4274,129.407,129.385,129.647,129.28,1674345600000,5186
2023-01-23,228333,130.1106,129.309,130.593,130.887,129.04,1674432000000,228333
2023-01-24,197904,130.2066,130.163,130.21,131.115,129.718,1674518400000,197904
2023-01-25,188638,129.8479,130.524,129.258,130.583,129.21,1674604800000,188638
2023-01-26,196921,129.9581,129.352,129.805,130.616,129.196,1674691200000,196921
2023-01-27,128171,129.86,129.757,129.88,130.068,129.55,1674777600000,128171
2023-01-28,2,129.86,129.85,129.87,129.87,129.85,1674864000000,2
2023-01-29,6225,129.8075,129.84,129.833,129.89,129.729,1674950400000,6225
2023-01-30,230176,130.0331,129.833,130.481,130.61,129.2,1675036800000,230176
2023-01-31,197781,130.1882,130.156,130.112,130.494,129.74,1675123200000,197781
2023-02-01,240047,129.5825,130.113,128.596,130.42,128.417,1675209600000,240047
2023-02-02,200641,128.5815,128.486,128.757,129.127,128.07,1675296000000,200641
2023-02-03,229024,129.5589,128.767,131.19,131.21,128.32,1675382400000,229024
2023-02-04,4,131.175,131.17,131.18,131.18,131.17,1675468800000,4
2023-02-05,5941,131.7603,131.913,132.059,132.532,131.505,1675555200000,5941
2023-02-06,240859,132.2374,132.057,132.626,132.904,131.578,1675641600000,240859
2023-02-07,276411,131.7597,132.625,131.057,132.625,130.47,1675728000000,276411
2023-02-08,243741,131.1313,131.056,131.389,131.534,130.593,1675814400000,243741
2023-02-09,250073,131.132,131.39,131.515,131.825,130.33,1675900800000,250073
2023-02-10,256830,131.1965,131.517,131.42,131.884,129.801,1675987200000,256830
2023-02-11,2,131.41,131.41,131.41,131.41,131.41,1676073600000,2
2023-02-13,175370,132.4918,132.177,132.333,132.907,132.01,1676246400000,175370
2023-02-14,275470,132.4179,132.334,132.992,133.314,131.502,1676332800000,275470
2023-02-15,240830,133.5955,132.991,133.906,134.358,132.543,1676419200000,240830
2023-02-16,247790,133.944,133.901,134.07,134.49,133.602,1676505600000,247790
2023-02-17,211291,134.5833,134.074,134.1,135.12,134.051,1676592000000,211291
2023-02-18,2,134.13,134.15,134.11,134.15,134.11,1676678400000,2
2023-02-19,4868,134.2824,134.036,134.307,134.331,134.036,1676764800000,4868
2023-02-20,168960,134.1602,134.31,134.332,134.54,133.92,1676851200000,168960
2023-02-21,213109,134.6995,134.336,134.988,135.229,134.142,1676937600000,213109
2023-02-22,235380,134.7584,134.992,134.932,135.063,134.35,1677024000000,235380
2023-02-23,193191,134.8572,134.941,134.624,135.365,134.271,1677110400000,193191
2023-02-24,241217,135.4185,134.628,136.47,136.516,134.054,1677196800000,241217
2023-02-25,6,136.465,136.46,136.47,136.47,136.46,1677283200000,6
2023-02-26,3318,136.3264,136.152,136.424,136.517,136.152,1677369600000,3318
2023-02-27,200274,136.2144,136.412,136.319,136.552,135.909,1677456000000,200274
2023-02-28,209487,136.4046,136.321,136.342,136.925,135.73,1677542400000,209487
2023-03-01,225311,136.0175,136.348,136.19,136.474,135.24,1677628800000,225311
2023-03-02,237813,136.6171,136.194,136.72,137.1,136.049,1677715200000,237813
2023-03-03,208600,136.2753,136.721,135.84,136.77,135.74,1677801600000,208600
2023-03-05,6559,135.918,135.734,136.017,136.035,135.734,1677974400000,6559
2023-03-06,198386,135.8585,136.015,135.995,136.192,135.362,1678060800000,198386
2023-03-07,213374,136.3135,135.997,137.383,137.437,135.536,1678147200000,213374
2023-03-08,212114,137.3008,137.386,137.224,137.91,136.477,1678233600000,212114
2023-03-09,200626,136.4178,137.23,136.37,137.258,135.937,1678320000000,200626
2023-03-10,287353,135.8789,136.371,134.99,136.994,134.11,1678406400000,287353
2023-03-11,2,134.99,134.98,135.0,135.0,134.98,1678492800000,2
2023-03-12,11377,134.4517,134.814,134.959,135.044,133.55,1678579200000,11377
2023-03-13,357136,133.5542,134.95,133.088,134.95,132.281,1678665600000,357136
2023-03-14,305558,134.0391,133.083,134.434,134.9,133.023,1678752000000,305558
2023-03-15,344291,133.6426,134.428,132.902,135.112,132.211,1678838400000,344291
2023-03-16,346431,132.8956,132.907,133.372,133.85,131.714,1678924800000,346431
2023-03-17,282424,132.6406,133.366,131.84,133.584,131.549,1679011200000,282424
2023-03-18,4,131.815,131.8,131.83,131.83,131.8,1679097600000,4
2023-03-19,13994,132.0852,132.3,132.27,132.359,131.65,1679184000000,13994
2023-03-20,313994,131.4998,132.271,131.398,132.647,130.536,1679270400000,313994
2023-03-21,241645,131.9776,131.399,132.4,132.626,131.029,1679356800000,241645
2023-03-22,247674,132.2587,132.396,131.185,133.001,130.999,1679443200000,247674
2023-03-23,275256,130.9334,131.188,130.854,131.664,130.31,1679529600000,275256
2023-03-24,261298,130.3117,130.867,130.745,130.94,129.639,1679616000000,261298
2023-03-26,8913,130.7999,130.399,130.846,130.96,130.399,1679788800000,8913
2023-03-27,218831,131.2243,130.847,131.24,131.77,130.496,1679875200000,218831
2023-03-28,222015,130.8726,131.239,131.046,131.293,130.405,1679961600000,222015
2023-03-29,212855,132.1003,131.047,132.545,132.887,130.92,1680048000000,212855
2023-03-30,216071,132.5992,132.543,133.201,133.267,132.215,1680134400000,216071
2023-03-31,218032,133.0571,133.199,132.77,133.592,132.094,1680220800000,218032
2023-04-02,14218,133.2269,132.705,133.351,133.523,132.705,1680393600000,14218
2023-04-03,229878,132.9743,133.348,132.319,133.759,131.753,1680480000000,229878
2023-04-04,216817,132.4113,132.323,131.433,133.171,131.35,1680566400000,216817
2023-04-05,224750,131.348,131.432,130.935,131.846,130.62,1680652800000,224750
2023-04-06,177740,131.4393,130.934,131.677,131.924,130.774,1680739200000,177740
2023-04-07,108806,131.8361,131.673,132.15,132.373,131.52,1680825600000,108806
2023-04-08,2,131.925,131.71,132.14,132.14,131.71,1680912000000,2
2023-04-09,7766,131.9907,131.975,132.098,132.164,131.82,1680998400000,7766
2023-04-10,185074,132.8795,132.097,133.469,133.861,131.993,1681084800000,185074
2023-04-11,200183,133.3761,133.471,133.594,133.81,132.96,1681171200000,200183
2023-04-12,204454,133.445,133.6,133.083,134.046,132.732,1681257600000,204454
2023-04-13,198743,132.865,133.085,132.487,133.393,132.01,1681344000000,198743
2023-04-14,188175,132.8303,132.492,133.82,133.86,132.165,1681430400000,188175
2023-04-15,2,133.785,133.77,133.8,133.8,133.77,1681516800000,2
2023-04-16,9048,133.8831,133.407,133.98,133.992,133.407,1681603200000,9048
2023-04-17,194347,134.1214,133.984,134.454,134.572,133.707,1681689600000,194347
2023-04-18,196496,134.2227,134.457,134.041,134.705,133.85,1681776000000,196496
2023-04-19,202390,134.5701,134.037,134.711,135.131,133.95,1681862400000,202390
2023-04-20,203383,134.4911,134.711,133.997,134.974,133.952,1681948800000,203383
2023-04-21,172720,133.9852,133.996,134.16,134.49,133.547,1682035200000,172720
2023-04-23,6194,134.0311,133.757,133.962,134.117,133.757,1682208000000,6194
2023-04-24,179874,134.3394,133.963,134.085,134.732,133.887,1682294400000,179874
2023-04-25,205899,134.0038,134.083,133.704,134.475,133.36,1682380800000,205899
2023-04-26,232544,133.5471,133.711,133.461,133.939,133.01,1682467200000,232544
2023-04-27,211854,133.7904,133.465,133.802,134.195,133.203,1682553600000,211854
2023-04-28,249719,135.4359,133.8,136.304,136.56,133.334,1682640000000,249719
2023-04-29,2,136.3,136.28,136.32,136.32,136.28,1682726400000,2
2023-04-30,9189,136.2995,136.204,136.401,136.43,136.057,1682812800000,9189
2023-05-01,185188,136.9884,136.384,137.522,137.575,136.254,1682899200000,185188
2023-05-02,201839,137.1279,137.518,136.47,137.772,136.31,1682985600000,201839
2023-05-03,249369,135.5211,136.468,134.553,136.574,134.38,1683072000000,249369
2023-05-04,260650,134.3355,134.549,134.162,134.881,133.496,1683158400000,260650
2023-05-05,193358,134.41,134.16,134.83,135.121,133.88,1683244800000,193358
2023-05-07,8238,135.0842,134.695,135.192,135.294,134.683,1683417600000,8238
2023-05-08,197797,134.9445,135.191,135.082,135.226,134.635,1683504000000,197797
2023-05-09,204189,135.0583,135.086,135.29,135.356,134.72,1683590400000,204189
2023-05-10,224706,134.8339,135.281,134.098,135.469,134.01,1683676800000,224706
2023-05-11,233325,134.3294,134.099,134.489,134.842,133.744,1683763200000,233325
2023-05-12,186109,134.9384,134.479,135.74,135.763,134.4,1683849600000,186109
2023-05-13,2,135.72,135.71,135.73,135.73,135.71,1683936000000,2
2023-05-14,8368,135.7945,135.493,135.823,135.884,135.458,1684022400000,8368
2023-05-15,191540,136.0461,135.819,136.029,136.324,135.708,1684108800000,191540
2023-05-16,194771,136.1107,136.029,136.428,136.69,135.672,1684195200000,194771
2023-05-17,195479,137.0562,136.429,137.602,137.711,136.29,1684281600000,195479
2023-05-18,205904,138.0163,137.604,138.628,138.75,137.27,1684368000000,205904
2023-05-19,206989,138.2117,138.629,137.96,138.666,136.751,1684454400000,206989
2023-05-21,6220,137.7223,137.851,137.691,138.011,137.573,1684627200000,6220
2023-05-22,205986,138.1443,137.651,138.663,138.799,137.492,1684713600000,205986
2023-05-23,225790,138.548,138.662,138.611,138.908,138.23,1684800000000,225790
2023-05-24,228259,138.7887,138.607,139.292,139.48,138.23,1684886400000,228259
2023-05-25,227304,139.6564,139.29,140.024,140.229,139.18,1684972800000,227304
2023-05-26,148810,140.019,140.025,140.65,140.826,139.493,1685059200000,148810
2023-05-28,10782,140.7682,140.62,140.882,140.887,140.508,1685232000000,10782
2023-05-29,129559,140.4046,140.881,140.47,140.915,140.109,1685318400000,129559
2023-05-30,216887,140.0756,140.47,139.795,140.932,139.568,1685404800000,216887
2023-05-31,206898,139.6648,139.793,139.135,140.393,138.953,1685491200000,206898
2023-06-01,188440,139.2892,139.136,138.743,139.948,138.429,1685577600000,188440
2023-06-02,170700,139.1572,138.734,139.94,140.072,138.602,1685664000000,170700
2023-06-03,1,139.94,139.94,139.94,139.94,139.94,1685750400000,1
2023-06-04,5656,140.1226,139.764,140.211,140.242,139.764,1685836800000,5656
2023-06-05,170648,139.9667,140.212,139.413,140.454,139.248,1685923200000,170648
2023-06-06,180125,139.5455,139.412,139.523,139.993,139.09,1686009600000,180125
2023-06-07,210434,139.5772,139.524,139.915,140.246,139.01,1686096000000,210434
2023-06-08,201413,139.4548,139.913,138.881,140.095,138.756,1686182400000,201413
2023-06-09,172330,139.3604,138.879,139.4,139.725,138.862,1686268800000,172330
2023-06-10,4,139.365,139.34,139.39,139.39,139.34,1686355200000,4
2023-06-11,5203,139.4032,139.34,139.372,139.499,139.102,1686441600000,5203
2023-06-12,189678,139.4635,139.371,139.458,139.763,139.06,1686528000000,189678
2023-06-13,209884,139.6752,139.456,140.148,140.308,139.007,1686614400000,209884
2023-06-14,223194,139.8483,140.148,139.966,140.204,139.275,1686700800000,223194
2023-06-15,244071,140.8059,139.965,140.263,141.51,139.93,1686787200000,244071
2023-06-16,237175,141.0587,140.262,141.84,141.912,139.847,1686873600000,237175
2023-06-18,498,141.8794,141.82,141.86,141.938,141.403,1687046400000,498
2023-06-19,132860,141.8248,141.856,141.897,142.059,141.439,1687132800000,132860
2023-06-20,238718,141.6485,141.907,141.339,142.25,141.21,1687219200000,238718
2023-06-21,231486,141.8712,141.34,141.687,142.4,141.333,1687305600000,231486
2023-06-22,214526,142.2841,141.676,143.03,143.23,141.608,1687392000000,214526
2023-06-23,223470,143.2673,143.026,143.69,143.9,142.684,1687478400000,223470
2023-06-24,1,143.68,143.68,143.68,143.68,143.68,1687564800000,1
2023-06-25,6877,143.5705,143.496,143.536,143.718,143.43,1687651200000,6877
2023-06-26,214812,143.3694,143.537,143.46,143.71,142.935,1687737600000,214812
2023-06-27,205367,143.6992,143.461,143.876,144.2,143.279,1687824000000,205367
2023-06-28,230287,144.1564,143.871,144.388,144.615,143.728,1687910400000,230287
2023-06-29,224162,144.5474,144.387,144.795,144.895,144.132,1687996800000,224162
2023-06-30,216170,144.5889,144.794,144.29,145.067,144.195,1688083200000,216170
2023-07-02,4769,144.3466,144.32,144.395,144.404,144.197,1688256000000,4769
2023-07-03,203875,144.5964,144.393,144.598,144.93,143.983,1688342400000,203875
2023-07-04,150592,144.4636,144.597,144.406,144.685,144.204,1688428800000,150592
2023-07-05,152664,144.5227,144.404,144.498,144.76,144.075,1688515200000,152664
2023-07-06,193258,144.1164,144.497,143.972,144.651,143.57,1688601600000,193258
2023-07-07,215305,143.0267,143.976,142.09,144.196,142.001,1688688000000,215305
