v,vw,o,c,h,l,t,n
12,1.0691,1.06849,1.0793,1.0793,1.06788,1672531200000,12
74147,1.0676,1.07027,1.06764,1.071,1.0645,1672617600000,74147
236637,1.0585,1.06765,1.0545,1.0681,1.0518,1672704000000,236637
229494,1.0598,1.05453,1.0605,1.06353,1.0544,1672790400000,229494
210543,1.0574,1.06056,1.05211,1.0632,1.05138,1672876800000,210543
207800,1.0551,1.05209,1.0661,1.0662,1.04829,1672963200000,207800
2,1.0653,1.0644,1.0662,1.0662,1.0644,1673049600000,2
4731,1.065,1.06408,1.06626,1.06627,1.06307,1673136000000,4731
205277,1.0706,1.06624,1.07325,1.0761,1.065,1673222400000,205277
202545,1.0734,1.07325,1.07383,1.07593,1.071,1673308800000,202545
180813,1.0748,1.07382,1.07655,1.07763,1.0724,1673395200000,180813
225604,1.0795,1.07656,1.08598,1.0867,1.07296,1673481600000,225604
204001,1.0831,1.08597,1.0845,1.08682,1.07799,1673568000000,204001
3,1.0845,1.0847,1.0842,1.0847,1.0842,1673654400000,3
4685,1.0827,1.08278,1.08223,1.08349,1.08161,1673740800000,4685
143926,1.0831,1.08225,1.08294,1.08741,1.08,1673827200000,143926
208089,1.082,1.083,1.07893,1.08693,1.0773,1673913600000,208089
241865,1.0818,1.07894,1.07972,1.08874,1.0766,1674000000000,241865
205133,1.0811,1.07979,1.0832,1.084,1.0781,1674086400000,205133
175785,1.0835,1.08335,1.0875,1.0876,1.0801,1674172800000,175785
1,1.0876,1.0876,1.0876,1.0876,1.0876,1674259200000,1
4464,1.0865,1.0843,1.08639,1.08728,1.0843,1674345600000,4464
177970,1.0879,1.0864,1.08713,1.09266,1.0845,1674432000000,177970
170583,1.0872,1.08711,1.08897,1.08982,1.0835,1674518400000,170583
173276,1.0891,1.08896,1.09205,1.09235,1.0856,1674604800000,173276
174534,1.0895,1.09206,1.0892,1.09296,1.085,1674691200000,174534
157922,1.0871,1.08931,1.087,1.09001,1.0837,1674777600000,157922
2,1.0871,1.0872,1.0871,1.0872,1.0871,1674864000000,2
2268,1.0869,1.0862,1.08715,1.08725,1.08616,1674950400000,2268
174335,1.0876,1.08716,1.0849,1.0914,1.0838,1675036800000,174335
177669,1.0846,1.08501,1.08603,1.0875,1.0801,1675123200000,177669
189479,1.0912,1.08602,1.10127,1.10327,1.0851,1675209600000,189479
212083,1.0964,1.10128,1.09044,1.10272,1.08854,1675296000000,212083
198222,1.0868,1.09043,1.0825,1.09401,1.07892,1675382400000,198222
3,1.0825,1.0827,1.0822,1.0827,1.0822,1675468800000,3
5370,1.0791,1.07844,1.07891,1.07979,1.07801,1675555200000,5370
180922,1.076,1.0789,1.0729,1.0799,1.0708,1675641600000,180922
211098,1.0715,1.07291,1.07301,1.07666,1.0668,1675728000000,211098
178013,1.0732,1.07306,1.07154,1.07608,1.07051,1675814400000,178013
178528,1.0751,1.07153,1.07389,1.0791,1.0708,1675900800000,178528
180928,1.0705,1.07395,1.0699,1.07531,1.0665,1675987200000,180928
2,1.0699,1.0701,1.0696,1.0701,1.0696,1676073600000,2
130536,1.0696,1.06657,1.07307,1.0733,1.0661,1676246400000,130536
208015,1.0741,1.07306,1.0735,1.0805,1.07062,1676332800000,208015
191260,1.07,1.07351,1.06912,1.07444,1.066,1676419200000,191260
189950,1.069,1.0691,1.06654,1.07224,1.0653,1676505600000,189950
175703,1.0654,1.06652,1.0718,1.0722,1.0612,1676592000000,175703
2,1.0718,1.072,1.0715,1.072,1.0715,1676678400000,2
3685,1.0687,1.06798,1.06838,1.06932,1.06798,1676764800000,3685
118268,1.0686,1.06839,1.06819,1.07047,1.0669,1676851200000,118268
182937,1.0662,1.06822,1.06515,1.0698,1.0636,1676937600000,182937
185644,1.0638,1.06514,1.06051,1.06641,1.0598,1677024000000,185644
173113,1.0603,1.06054,1.05972,1.0628,1.0576,1677110400000,173113
191818,1.0571,1.05973,1.0583,1.06144,1.0534,1677196800000,191818
4,1.0578,1.0584,1.0571,1.0584,1.0571,1677283200000,4
2566,1.0551,1.05397,1.05531,1.05549,1.05397,1677369600000,2566
170282,1.0573,1.05531,1.06093,1.06197,1.0531,1677456000000,170282
177843,1.0605,1.06093,1.05766,1.0645,1.0569,1677542400000,177843
199690,1.0644,1.05765,1.06688,1.0692,1.0564,1677628800000,199690
188820,1.0618,1.06684,1.05985,1.0673,1.0575,1677715200000,188820
167663,1.0614,1.0598,1.0648,1.0649,1.05879,1677801600000,167663
1,1.0649,1.0649,1.0649,1.0649,1.0649,1677888000000,1
3629,1.0625,1.06146,1.06254,1.06288,1.06123,1677974400000,3629
166747,1.0656,1.06255,1.0686,1.06946,1.0621,1678060800000,166747
191485,1.0631,1.06854,1.05481,1.0695,1.0544,1678147200000,191485
177493,1.0544,1.05482,1.05486,1.05742,1.0523,1678233600000,177493
169900,1.0567,1.0549,1.05859,1.05911,1.0537,1678320000000,169900
236647,1.0624,1.05854,1.0655,1.07004,1.0573,1678406400000,236647
3,1.0647,1.064,1.0645,1.0655,1.064,1678492800000,3
11617,1.069,1.06394,1.0681,1.07033,1.06376,1678579200000,11617
292601,1.0707,1.06814,1.07226,1.0749,1.065,1678665600000,292601
248366,1.0717,1.07224,1.07266,1.07497,1.0677,1678752000000,248366
264552,1.0621,1.07268,1.05814,1.076,1.0516,1678838400000,264552
256552,1.0604,1.05814,1.06132,1.06355,1.055,1678924800000,256552
214745,1.0645,1.06134,1.0778,1.0781,1.061,1679011200000,214745
3,1.0777,1.0779,1.0774,1.0779,1.0774,1679097600000,3
7186,1.0676,1.06841,1.06804,1.07061,1.06657,1679184000000,7186
