v,vw,o,c,h,l,t,n
25740036.0,239.8394,243.08,239.58,245.75,237.4,1672722000000,314904
50623394.0,228.5518,232.275,229.1,232.87,225.96,1672808400000,679231
39577823.0,223.604,227.2,222.31,227.55,221.7602,1672894800000,471302
43613574.0,223.3788,223.0,224.93,225.7601,219.35,1672981200000,495762
27369784.0,228.5989,226.45,227.12,231.2366,226.41,1673240400000,363680
27033881.0,228.7878,227.755,228.85,231.31,227.33,1673326800000,334659
28633081.0,233.9843,231.29,235.77,235.95,231.11,1673413200000,340052
27269486.0,237.813,235.26,238.51,239.9,233.56,1673499600000,400489
21333265.0,237.4748,237.002,239.23,239.37,234.92,1673586000000,300118
29831257.0,239.6706,237.97,240.35,240.91,237.09,1673931600000,370168
30028692.0,237.875,241.565,235.81,242.38,235.52,1674018000000,377927
28592433.0,232.5374,233.78,231.93,235.52,230.68,1674104400000,362262
35249809.0,238.2032,234.855,240.22,240.74,234.51,1674190800000,364051
31933951.0,242.7509,241.1,242.58,245.165,239.65,1674450000000,413335
40218444.0,243.7867,242.5,242.04,243.95,240.44,1674536400000,512442
66526641.0,237.4755,234.48,240.61,243.3,230.9,1674622800000,745426
33454491.0,245.411,243.65,248.0,248.31,242.0,1674709200000,401891
26498939.0,248.3935,248.99,248.16,249.83,246.83,1674795600000,336282
25867365.0,243.2164,244.51,242.71,245.6,242.2,1675054800000,308895
26541072.0,246.5374,243.45,247.81,247.95,242.945,1675141200000,256082
31259912.0,250.3172,248.0,252.75,255.18,245.47,1675227600000,386960
39931837.0,261.6241,258.82,264.6,264.69,257.25,1675314000000,533818
29059256.0,259.9308,259.542,258.35,264.2,257.1,1675400400000,408058
22517997.0,256.76,257.44,256.77,258.3,254.78,1675659600000,276674
50841365.0,264.6898,260.53,267.56,268.775,260.08,1675746000000,618791
54674349.0,270.3434,273.2,266.73,276.76,266.21,1675832400000,659530
42375102.0,267.304,273.8,263.62,273.98,262.8,1675918800000,472027
25808489.0,262.4025,261.53,263.1,264.09,260.662,1676005200000,334145
44614921.0,271.4438,267.64,271.32,274.6,267.15,1676264400000,499425
37047924.0,272.0367,272.67,272.17,274.97,269.28,1676350800000,471699
28962163.0,268.4251,268.32,269.32,270.73,266.18,1676437200000,370701
29529391.0,264.1021,264.02,262.15,266.74,261.9,1676523600000,389910
29998205.0,257.6854,259.39,258.06,260.09,256.0,1676610000000,392723
28372844.0,253.0254,254.48,252.67,255.49,251.59,1676955600000,341324
22491056.0,252.2065,254.09,251.51,254.34,250.34,1677042000000,276380
